# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AASDH	AASDH	NM_001323890.1	protein_coding	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
AASDHPPT	AASDHPPT	NM_015423.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AASS	AASS	NM_005763.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK	AATK	NM_001080395.2	protein_coding	0	0	0	10	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1
AATK-AS1	AATK-AS1	NR_027255.1		0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABALON	ABALON	NR_131907.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ABAT	NM_000663.4	protein_coding	0	0	1	16	0	0	0	0	15	1	0	0	0	0	0	1	0	0	0	0	0	1
ABCA1	ABCA1	NM_005502.3	protein_coding	0	0	1	52	1	0	0	0	51	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10	ABCA10	NM_080282.3	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA11P	ABCA11P	NR_002451.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NM_173076.2	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	ABCA13	NM_152701.4	protein_coding	0	0	1	15	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	ABCA17P	NR_003574.1		0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA2	ABCA2	NM_212533.2	protein_coding	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
ABCA3	ABCA3	NM_001089.2	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	ABCA4	NM_000350.2	protein_coding	0	1	1	25	0	0	0	1	24	1	0	0	0	0	0	0	0	0	0	0	1	0
ABCA5	ABCA5	NM_018672.4	protein_coding	0	0	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6	ABCA6	NM_080284.2	protein_coding	0	0	1	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	ABCA7	NM_019112.3	protein_coding	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1
ABCA8	ABCA8	NM_001288985.1	protein_coding	0	0	0	10	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ABCA9	NM_080283.3	protein_coding	0	0	1	7	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	ABCA9-AS1	NR_126414.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	ABCB1	NM_000927.4	protein_coding	0	1	0	20	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCB10	ABCB10	NM_012089.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	ABCB11	NM_003742.2	protein_coding	0	0	2	17	1	0	0	2	14	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_001163941.1	protein_coding	0	0	0	13	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	ABCB6	NM_005689.2	protein_coding	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCB7	ABCB7	NM_004299.4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	ABCB8	NM_001282291.1	protein_coding	0	0	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_019625.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ABCC1	NM_004996.3	protein_coding	0	0	0	23	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC10	ABCC10	NM_001198934.1	protein_coding	0	1	0	5	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCC11	ABCC11	NM_032583.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCC13	ABCC13	NR_003087.1		0	0	0	10	0	0	0	1	8	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCC2	ABCC2	NM_000392.4	protein_coding	0	1	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	1
ABCC3	ABCC3	NM_003786.3	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC4	ABCC4	NM_005845.4	protein_coding	0	1	0	21	1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	1
ABCC5	ABCC5	NM_005688.3	protein_coding	0	1	0	7	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCC5-AS1	ABCC5-AS1	NR_046570.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	ABCC6	NM_001171.5	protein_coding	0	0	2	9	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ABCC8	NM_001287174.1	protein_coding	0	4	0	19	0	0	0	2	14	0	0	0	1	0	0	0	0	0	0	0	3	3
ABCC9	ABCC9	NM_005691.3	protein_coding	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	ABCD1	NM_000033.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	ABCD2	NM_005164.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	ABCD3	NM_002858.3	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_005050.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	ABCF1	NM_001025091.1	protein_coding	0	0	0	20	0	0	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	5
ABCG1	ABCG1	NM_004915.3	protein_coding	0	0	0	16	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	ABCG2	NM_004827.2	protein_coding	0	0	2	25	1	0	0	0	22	2	0	0	0	0	0	0	0	0	0	0	0	2
ABCG4	ABCG4	NM_001142505.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	ABCG5	NM_022436.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	ABCG8	NM_022437.2	protein_coding	0	1	1	3	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD1	ABHD1	NM_032604.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	ABHD10	NM_018394.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	ABHD12	NM_015600.4	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12B	ABHD12B	NM_001206673.1	protein_coding	0	0	1	7	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	1
ABHD13	ABHD13	NM_032859.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD15	ABHD15	NM_198147.2	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16A	ABHD16A	NM_021160.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABHD17B	ABHD17B	NM_016014.3	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD17C	ABHD17C	NM_021214.1	protein_coding	0	0	0	10	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD18	ABHD18	NM_001319305.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	ABHD2	NM_007011.7	protein_coding	0	0	0	6	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD4	ABHD4	NM_022060.2	protein_coding	0	0	0	4	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD5	ABHD5	NM_016006.4	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD6	ABHD6	NM_001320126.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD8	ABHD8	NM_024527.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	ABI1	NM_005470.3	protein_coding	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABI2	ABI2	NM_001282925.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3	ABI3	NM_016428.2	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABI3BP	ABI3BP	NM_015429.3	protein_coding	1	0	1	20	0	0	0	0	20	0	0	0	1	0	0	0	1	0	0	0	0	0
ABL1	ABL1	NM_007313.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_007314.3	protein_coding	0	0	0	5	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	ABLIM1	NM_002313.5	protein_coding	0	1	0	16	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	1
ABLIM2	ABLIM2	NM_001130083.1	protein_coding	0	1	0	26	1	0	0	1	25	0	0	0	0	0	0	1	0	0	0	0	0	0
ABLIM3	ABLIM3	NM_001301015.1	protein_coding	0	0	0	9	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	ABO	NM_020469.2	protein_coding	0	0	0	30	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	6
ABR	ABR	NM_001322841.1	protein_coding	0	1	0	38	1	0	0	1	36	0	0	0	0	0	0	1	0	0	0	0	0	1
ABRACL	ABRACL	NM_021243.2	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABT1	ABT1	NM_013375.3	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB2	ABTB2	NM_145804.2	protein_coding	0	0	0	15	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACA	ACACA	NM_198834.2	protein_coding	0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1
ACACB	ACACB	NM_001093.3	protein_coding	0	3	0	7	1	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	2	0
ACAD10	ACAD10	NM_001136538.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD11	ACAD11	NM_032169.4	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD8	ACAD8	NM_014384.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADL	ACADL	NM_001608.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	ACADM	NM_001286043.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACADS	ACADS	NM_000017.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACADSB	ACADSB	NM_001609.3	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	ACADVL	NM_001270447.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAN	ACAN	NM_013227.3	protein_coding	0	2	0	15	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	1
ACAP1	ACAP1	NM_014716.3	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1
ACAP2	ACAP2	NM_012287.5	protein_coding	0	0	0	5	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP3	ACAP3	NM_030649.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACAT1	ACAT1	NM_000019.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT2	ACAT2	NM_001303253.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD3	ACBD3	NM_022735.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD4	ACBD4	NM_001135706.2	protein_coding	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
ACBD5	ACBD5	NM_145698.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD6	ACBD6	NM_032360.3	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD7	ACBD7	NM_001039844.2	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACCS	ACCS	NM_001127219.1	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCSL	ACCSL	NM_001031854.2	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ACE	ACE	NM_000789.3	protein_coding	0	7	1	8	0	0	0	1	7	1	0	0	2	0	0	1	0	0	0	0	4	1
ACER1	ACER1	NM_133492.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	ACER2	NM_001010887.2	protein_coding	0	0	0	6	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2
ACER3	ACER3	NM_018367.6	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACIN1	ACIN1	NM_014977.3	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR1	ACKR1	NM_001122951.2	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ACKR2	ACKR2	NM_001296.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACMSD	ACMSD	NM_138326.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	ACO1	NM_001278352.1	protein_coding	0	0	0	9	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOD1	ACOD1	NM_001258406.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT11	ACOT11	NM_015547.3	protein_coding	0	0	2	11	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0
ACOT12	ACOT12	NM_130767.2	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	ACOT13	NM_018473.3	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT2	ACOT2	NM_006821.5	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT4	ACOT4	NM_152331.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	ACOT7	NM_181864.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT8	ACOT8	NM_005469.3	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACOT9	ACOT9	NM_001037171.1	protein_coding	0	0	0	9	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1
ACOX1	ACOX1	NM_004035.6	protein_coding	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX2	ACOX2	NM_003500.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX3	ACOX3	NM_003501.2	protein_coding	0	0	0	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOXL	ACOXL	NM_001142807.1	protein_coding	0	0	1	17	0	0	0	0	17	1	0	0	0	0	0	1	0	0	0	0	0	0
ACP1	ACP1	NM_004300.3	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	ACP2	NM_001610.3	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP5	ACP5	NM_001111034.2	protein_coding	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ACP7	ACP7	NM_001004318.2	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPP	ACPP	NM_001134194.1	protein_coding	0	1	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
ACPT	ACPT	NM_033068.2	protein_coding	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACR	ACR	NM_001097.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACRBP	ACRBP	NM_032489.2	protein_coding	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACRV1	ACRV1	NM_001612.5	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	ACSBG1	NM_015162.4	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG2	ACSBG2	NM_001289177.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	ACSF2	NM_001288968.1	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF3	ACSF3	NM_001127214.3	protein_coding	0	1	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0
ACSL1	ACSL1	NM_001286708.1	protein_coding	0	0	0	8	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1
ACSL3	ACSL3	NM_004457.3	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL4	ACSL4	NM_001318509.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL5	ACSL5	NM_016234.3	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACSL6	ACSL6	NM_001009185.2	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2A	ACSM2A	NM_001308172.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	ACSM3	NM_005622.3	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM6	ACSM6	NM_207321.2	protein_coding	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	ACSS1	NM_032501.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS2	ACSS2	NM_001076552.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS3	ACSS3	NM_024560.2	protein_coding	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA1	ACTA1	NM_001100.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	ACTA2	NM_001141945.2	protein_coding	0	0	0	11	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTA2-AS1	ACTA2-AS1	NR_125373.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACTC1	ACTC1	NM_005159.4	protein_coding	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTG2	ACTG2	NM_001615.3	protein_coding	0	0	0	5	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6A	ACTL6A	NM_004301.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6B	ACTL6B	NM_016188.4	protein_coding	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	ACTL7A	NM_006687.3	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTL7B	ACTL7B	NM_006686.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTL8	ACTL8	NM_030812.2	protein_coding	0	0	0	8	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	ACTL9	NM_178525.4	protein_coding	0	0	3	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	ACTN1	NM_001130004.1	protein_coding	0	0	0	8	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	ACTN2	NM_001103.3	protein_coding	0	0	0	12	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTN3	ACTN3	NM_001258371.2	protein_coding	1	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0
ACTN4	ACTN4	NM_004924.5	protein_coding	0	0	0	6	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTR10	ACTR10	NM_018477.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR1B	ACTR1B	NM_005735.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR2	ACTR2	NM_001005386.2	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3	ACTR3	NM_005721.4	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
